,Lying down,Sleep duration,Calories in,Calories out,Average MET,Sedentary,Moderate,Vigorous
09/08/12,22140.00,18300.00,2823,2792,1.44,81480,4800,120
09/09/12,22440.00,18480.00,2867,2783,1.43,82080,4020,300
09/10/12,30000.00,25080.00,2825,2752,1.42,81900,4500,0
09/11/12,25980.00,18240.00,2483,2823,1.45,80880,5520,0
09/12/12,31740.00,22440.00,2483,2867,1.48,81420,4920,60
09/13/12,24720.00,16620.00,2483,2825,1.45,81960,4440,0
09/14/12,25200.00,22020.00,2483,2747,1.41,82620,3780,0
09/15/12,31920.00,25140.00,2483,2638,1.36,82860,3540,0
09/16/12,27720.00,21420.00,2609,2743,1.41,81540,4860,0
09/17/12,26100.00,20880.00,2445,2819,1.45,80880,5520,0
09/18/12,25140.00,18540.00,3168,2772,1.43,81480,4860,60
